icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,geo_altitude,squawk,spi,position_source
c07d0b,CGVJE   ,Canada,1759789053,1759789053,-74.5636,45.1144,502.92,FALSE,39.38,199.86,0.33,510.54,,FALSE,0
ab1644,UAL568  ,United States,1759789098,1759789098,-87.8705,43.2363,10949.94,FALSE,197.76,263.58,0.33,11315.7,501,FALSE,0
c07d22,CGVKB   ,Canada,1759789098,1759789098,-113.1706,49.6546,1950.72,FALSE,77.09,144.51,0.33,2019.3,,FALSE,0
ab6fdd,AAL1750 ,United States,1759789097,1759789098,-97.025,33.1668,1554.48,FALSE,112.15,180,-5.2,1615.44,6324,FALSE,0
a0f57e,N161B   ,United States,1759789098,1759789098,-81.3988,34.758,2987.04,FALSE,151.69,82.01,-7.15,3154.68,5136,FALSE,0
c07d20,JZA807  ,Canada,1759789098,1759789098,-122.2832,47.8512,3710.94,FALSE,128.3,3.22,8.78,3870.96,,FALSE,0
a59545,N459TS  ,United States,,1759789071,,,,FALSE,75.85,141.89,1.63,,,FALSE,0
a60541,N4872J  ,United States,1759789097,1759789098,-122.3402,48.2897,1165.86,FALSE,82.95,7.13,0,1219.2,,FALSE,0
801647,IGO091  ,India,1759789086,1759789096,51.2337,22.4816,11582.4,FALSE,249.51,275.21,0.33,12313.92,4706,FALSE,0
a5f849,N484JM  ,United States,1759789091,1759789094,-92.5103,29.6489,11887.2,FALSE,241.56,102.17,0,12603.48,2705,FALSE,0
c047b3,ADS237  ,Canada,1759789097,1759789097,-119.9794,41.8501,12192,FALSE,230.95,345.69,0,12534.9,,FALSE,0
ac4963,DAL2094 ,United States,1759789098,1759789098,-110.1818,40.1353,10668,FALSE,244.51,71.6,0,10942.32,,FALSE,0
a3b88e,AAL2921 ,United States,1759789098,1759789098,-81.3215,32.9212,10668,FALSE,228.23,348.03,0,11277.6,3263,FALSE,0
a36898,DAL959  ,United States,1759789098,1759789098,-80.5091,26.6733,1455.42,FALSE,110.15,81.95,-5.85,1516.38,3316,FALSE,0
acdfa3,ASA676  ,United States,1759789098,1759789098,-119.811,40.9095,10972.8,FALSE,224.02,341.94,0,11346.18,,FALSE,0
a4c54a,N4060G  ,United States,1759789098,1759789098,-114.6329,35.455,2286,FALSE,49.45,182.98,-0.65,2316.48,,FALSE,0
ac230e,N881RL  ,United States,1759788801,1759788801,-96.5305,32.7457,137.16,FALSE,39.11,1.51,-1.63,121.92,712,FALSE,0
a5954e,UAL1141 ,United States,1759789098,1759789098,-85.6136,42.7144,6758.94,FALSE,179.19,227.79,-6.18,7033.26,3453,FALSE,0
a23563,N241TD  ,United States,1759789098,1759789098,-118.4665,34.0226,1097.28,FALSE,42.81,147.26,0,1051.56,,FALSE,0
801619,IGO41Q  ,India,1759789098,1759789098,73.5675,17.7073,10668,FALSE,235.71,96.77,0,11300.46,,FALSE,0
801621,IGO1232 ,India,1759789098,1759789098,56.2649,25.1784,10660.38,FALSE,236.35,111.32,0,11353.8,1454,FALSE,0
a1befc,UAL664  ,United States,1759789098,1759789098,-102.6054,40.7769,9144,FALSE,182.65,263.86,0,9387.84,1435,FALSE,0
ad5628,DAL3007 ,United States,1759789098,1759789098,-83.5166,34.0827,5676.9,FALSE,217.82,53.64,7.48,6012.18,5265,FALSE,0
acdfab,DAL512  ,United States,1759789098,1759789098,-87.515,32.6219,10058.4,FALSE,250.43,77.91,0,10675.62,4476,FALSE,0
a3685d,,United States,,1759788998,,,,FALSE,193.86,183.8,4.23,,,FALSE,0
407a05,EZY3500 ,United Kingdom,1759789098,1759789098,24.749,39.5304,10972.8,FALSE,247.35,332.64,0,11224.26,6455,FALSE,0
a0e23b,N156U   ,United States,1759789098,1759789098,-111.8499,41.7713,1363.98,FALSE,38.67,3.81,-2.6,1424.94,,FALSE,0
a48850,UPS249  ,United States,1759789098,1759789098,7.1821,50.6315,1821.18,FALSE,126.01,112.06,-4.55,1973.58,2221,FALSE,0
a2ded8,SWA3665 ,United States,1759789098,1759789098,-93.5281,37.7025,10066.02,FALSE,231.4,335.71,-16.58,10530.84,5231,FALSE,0
ad694c,SWA4642 ,United States,1759789098,1759789098,-75.3105,39.7092,7620,FALSE,227.72,40.42,0,8016.24,,FALSE,0
a34215,EDV5261 ,United States,1759789098,1759789098,-74.0161,40.7506,1135.38,FALSE,139.63,11.48,0.33,1219.2,1744,FALSE,0
80161d,AKJ1539 ,India,1759789097,1759789097,77.8628,13.3709,3009.9,FALSE,135.1,130.06,-4.23,3086.1,,FALSE,0
c047cf,CGBFA   ,Canada,1759789098,1759789098,-79.8755,43.7606,304.8,FALSE,34.2,136.22,-1.3,320.04,1200,FALSE,0
511187,MBU3EL  ,Estonia,1759789098,1759789098,14.8072,47.7347,10972.8,FALSE,216.08,306.19,0,11117.58,5403,FALSE,0
80166d,AXB742  ,India,1759789093,1759789093,72.7995,16.3266,10668,FALSE,234.23,129.56,0,11277.6,,FALSE,0
ac498d,PCM7696 ,United States,1759789098,1759789098,-117.9842,34.065,1866.9,FALSE,94.48,291.4,-0.65,1889.76,,FALSE,0
ab0356,ASA984  ,United States,1759789098,1759789098,-121.1905,43.6042,10972.8,FALSE,215.73,335.64,0,11346.18,,FALSE,0
aad012,UAL990  ,United States,1759789098,1759789098,-120.2385,39.2038,10668,FALSE,240.06,53.89,0,11041.38,,FALSE,0
511189,MBU6EP  ,Estonia,1759789093,1759789093,11.0774,49.4958,,TRUE,4.12,196.88,,,1174,FALSE,0
abacd2,UAL2002 ,United States,1759789098,1759789098,-85.3583,40.5586,9959.34,FALSE,214.98,284.27,7.15,10386.06,6657,FALSE,0
a6f0fd,N5463F  ,United States,1759789098,1759789098,-84.9071,34.942,2148.84,FALSE,54.06,177.82,2.28,2255.52,,FALSE,0
a47597,DAL1951 ,United States,1759789093,1759789093,-111.9677,40.7979,,TRUE,5.92,261.56,,,6061,FALSE,0
ad564e,N959CF  ,United States,1759789098,1759789098,-117.7857,33.861,518.16,FALSE,35.32,257.38,0.33,449.58,,FALSE,0
4bc8c4,PGT582  ,Turkey,1759789098,1759789098,31.0705,32.0137,10668,FALSE,223.7,174.72,0,11330.94,1625,FALSE,0
abf008,SWA942  ,United States,1759789098,1759789098,-96.1903,33.3145,3169.92,FALSE,167.67,247.45,-1.95,3307.08,554,FALSE,0
511170,MBU9531 ,Estonia,1759789095,1759789095,11.0949,49.497,236.22,FALSE,59.8,278.41,-2.93,388.62,2241,FALSE,0
aae34c,EJA800  ,United States,1759789098,1759789098,-111.2972,36.2117,13106.4,FALSE,205.83,259.2,0,13548.36,6251,FALSE,0
4bc8d4,PGT74SC ,Turkey,1759789098,1759789098,30.9413,33.2954,10050.78,FALSE,214.13,178.07,0,10645.14,2365,FALSE,0
c0228a,CFNCB   ,Canada,1759789075,1759789076,-113.9944,51.1355,,TRUE,12.35,0,,,,FALSE,0
a2226b,GAQV    ,United States,1759789097,1759789097,-121.9875,49.1313,701.04,FALSE,59.13,62.54,0.33,754.38,,FALSE,0
ac234f,UAL324  ,United States,1759788908,1759788908,-122.3809,37.6183,,TRUE,1.03,233.44,,,,FALSE,0
a35592,JBU1767 ,United States,1759789098,1759789098,-80.7638,31.7311,10972.8,FALSE,239.58,208.05,0,11605.26,1106,FALSE,0
ac101f,SWA3653 ,United States,1759789098,1759789098,-90.7572,30.1035,2110.74,FALSE,148.73,103.6,-10.4,2225.04,2171,FALSE,0
a39bfa,UAL2497 ,United States,1759789098,1759789098,-84.3616,40.5588,10363.2,FALSE,218.59,304.06,-0.33,10797.54,3744,FALSE,0
